datum,waarde,bron
-796562,191,EPICA Dome C
-795149,188.4,EPICA Dome C
-794517,189.3,EPICA Dome C
-793252,195.2,EPICA Dome C
-792658,199.4,EPICA Dome C
-791310,209,EPICA Dome C
-790993,204,EPICA Dome C
-790131,205.1,EPICA Dome C
-789541,215.4,EPICA Dome C
-788588,221.3,EPICA Dome C
-788203,218.2,EPICA Dome C
-787431,226.3,EPICA Dome C
-786937,229.5,EPICA Dome C
-786083,247.9,EPICA Dome C
-785855,248.1,EPICA Dome C
-785126,256.9,EPICA Dome C
-784637,260.3,EPICA Dome C
-783839,255.4,EPICA Dome C
-783463,253.3,EPICA Dome C
-782742,250.7,EPICA Dome C
-782197,246.9,EPICA Dome C
-781313,252.1,EPICA Dome C
-780109,246.2,EPICA Dome C
-779585,248.7,EPICA Dome C
-778662,242.8,EPICA Dome C
-778318,248.5,EPICA Dome C
-777414,243.9,EPICA Dome C
-776848,245.8,EPICA Dome C
-775950,246.1,EPICA Dome C
-775606,246.3,EPICA Dome C
-774686,243.9,EPICA Dome C
-774087,238.8,EPICA Dome C
-773101,240.5,EPICA Dome C
-772598,236.9,EPICA Dome C
-771730,233.3,EPICA Dome C
-771093,230,EPICA Dome C
-770126,230.9,EPICA Dome C
-769758,229.5,EPICA Dome C
-769310,237.7,EPICA Dome C
-769044,235.6,EPICA Dome C
-768774,238.2,EPICA Dome C
-768497,235.6,EPICA Dome C
-768183,231.5,EPICA Dome C
-767837,226,EPICA Dome C
-767564,228.1,EPICA Dome C
-767100,221.4,EPICA Dome C
-766705,222.4,EPICA Dome C
-765787,217.7,EPICA Dome C
-765146,213.5,EPICA Dome C
-764160,215.7,EPICA Dome C
-763785,216.8,EPICA Dome C
-762883,222.6,EPICA Dome C
-762299,224.1,EPICA Dome C
-761984,221.4,EPICA Dome C
-761736,225.7,EPICA Dome C
-761369,215,EPICA Dome C
-760921,216,EPICA Dome C
-760114,212,EPICA Dome C
-759503,206.1,EPICA Dome C
-758550,206.9,EPICA Dome C
-758252,208.8,EPICA Dome C
-757356,214.9,EPICA Dome C
-756933,217.9,EPICA Dome C
-756525,217.6,EPICA Dome C
-756309,215.3,EPICA Dome C
-756012,219.2,EPICA Dome C
-755611,215,EPICA Dome C
-754921,210.7,EPICA Dome C
-754407,206,EPICA Dome C
-753545,201.9,EPICA Dome C
-753291,200.5,EPICA Dome C
-752444,195.8,EPICA Dome C
-752034,191.5,EPICA Dome C
-751028,196.5,EPICA Dome C
-750655,188,EPICA Dome C
-749880,190.1,EPICA Dome C
-749351,186.2,EPICA Dome C
-748526,184,EPICA Dome C
-748244,184.8,EPICA Dome C
-747451,182.9,EPICA Dome C
-746963,181.4,EPICA Dome C
-746151,180.4,EPICA Dome C
-745809,180.8,EPICA Dome C
-745160,180.8,EPICA Dome C
-744693,183.1,EPICA Dome C
-743886,180.2,EPICA Dome C
-742893,182,EPICA Dome C
-742404,181.2,EPICA Dome C
-741639,180.4,EPICA Dome C
-741283,181.7,EPICA Dome C
-740608,182.3,EPICA Dome C
